# id	판정	사유	결정자
0038	맞음		사람
0071	맞음		사람
0107	맞음		사람
0235	라벨수정	발화 순서 규칙 — since:며칠 전→오늘 아침, until:오늘 아침→며칠 전. 검수 원판정은 '맞음'(라벨 그대로)이었다	사람
0321	맞음		사람
0439	라벨수정	발화 순서 규칙 — since:일주일째→어제 밤, until:어제 밤→일주일째. 검수 원판정은 '맞음'(라벨 그대로)이었다	사람
0509	맞음		사람
0598	맞음		사람
0654	버림	누나가 배변했다는 내용으로 보인다	사람
0693	라벨수정	발화 순서 규칙 — since:3일 전→어제, until:어제→3일 전. 이 행은 규칙 적용으로 모델이 오답이 된다(유리한 쪽만 고르지 않았다는 근거)	사람
0938	맞음	투약 판단 요청 = out_of_scope. labeling-guide §1. 버림에서 되돌림	사람
0994	버림	내용이 망가진 것처럼 보인다	사람
1010	맞음		사람
1103	버림	내용이 망가진 듯 보인다	사람
1118	버림	아까 먹은 거, 산책의 연관관계를 알수 없다	사람
1202	맞음		사람
1204	버림	반려견과 관련 없는 내용인 듯 하다	사람
1206	맞음	반려견을 목욕 시켰다는 내용이 확실해야 한다	사람
1219	맞음		사람
1223	버림	이거 반려견이 아니라 사람이 물 마신 내용을 기록함	사람
1245	맞음		사람
1246	라벨수정	food가 호두여서 호두 한 줌 먹였음이라는 말이 나온 듯 하다	사람
1284	맞음		사람
1288	버림	반려견이 물을 마신 기록이 아니다	사람
1300	맞음		사람
1305	맞음	반려견이 안 마신건지 확인할 수 없다	사람
1309	맞음		사람
1324	맞음		사람
1326	맞음		사람
1332	라벨수정	caregiver: 아들 → null. '아들까지 봤다'는 돌봄 행위가 아니다	사람
1351	맞음		사람
1357	맞음		사람
1363	맞음		사람
1381	라벨수정	잠깐 전 이라는 시간 때도 기록 하도록 한다	사람
1414	맞음		사람
1430	맞음		사람
1452	맞음		사람
1467	버림	사용자는 몸무게를 1.8kg 이런 식으로 말한다	사람
1468	맞음		사람
1471	맞음		사람
1496	맞음		사람
1508	맞음		사람
1525	라벨수정	caregiver는 1인칭으로 보이니 null이 맞는 듯 하다	사람
1531	버림	반려견이 물을 마셨다는 내용이 아닌 듯 하다	사람
1534	맞음		사람
1564	맞음		사람
1565	맞음		사람
1598	맞음		사람
1624	맞음		사람
1625	맞음		사람
1630	맞음		사람
1641	맞음		사람
1649	맞음		사람
1650	버림	반려견과는 관련없는 내용이다	사람
1682	맞음		사람
1688	맞음		사람
1701	맞음		사람
1716	맞음		사람
1767	맞음		사람
1825	맞음		사람
1850	버림	log_water 주어 결함 — 사람이 마신 문장	사람
1869	버림	삼촌이 물을 마셨다는 내용으로 보인다	사람
1938	버림	log_water 주어 결함 — 사람이 마신 문장	사람
1966	버림	log_water 주어 결함 — 사람이 마신 문장	사람
1989	맞음		사람
2072	버림	log_water 주어 결함 — 사람이 마신 문장	사람
2135	맞음		사람
2148	맞음		사람
2225	맞음		사람
2299	맞음		사람
2347	맞음		사람
2390	맞음		사람
