# id	판정	사유	결정자
0004	맞음		제안
0030	맞음		제안
0046	맞음		제안
0055	맞음		제안
0069	맞음		제안
0070	맞음		제안
0089	맞음		제안
0090	맞음		제안
0098	라벨수정	until: 화요일 → null. 같은 값이라 구간이 아니다	제안
0109	맞음		제안
0128	맞음		제안
0131	맞음		제안
0203	라벨수정	until: 엊그제 → null. 같은 값이라 구간이 아니다	제안
0208	맞음		제안
0226	맞음		제안
0244	맞음		제안
0272	맞음		제안
0275	맞음		제안
0276	맞음		제안
0286	버림	'오빠가 있었던 일' — 반려견이 아니라 오빠의 하루를 묻는다	제안
0290	맞음		제안
0292	맞음		제안
0296	맞음		제안
0298	맞음		제안
0320	맞음		제안
0338	맞음		제안
0344	맞음		제안
0351	버림	질문이 둘이고 since=오늘 / until=며칠 전 으로 구간이 뒤집혔다	제안
0353	맞음		제안
0358	버림	'2주간 이모 이틀 전 기억나나' — 무엇을 묻는지 알 수 없다	제안
0382	맞음		제안
0399	맞음		제안
0409	버림	넥스가드(정제)에 '두 방울'	제안
0434	맞음		제안
0460	맞음	두 시점을 구간으로 담는 것을 인정. '버림'에서 되살림	제안
0475	버림	넥스가드(정제)에 '한 스푼'	제안
0508	맞음		제안
0520	버림	'와이프 몸무게' — 반려견이 아니라 사람의 몸무게다	제안
0547	맞음		제안
0549	버림	'아들한테 넥스가드 줬다' — 아들이 약을 받은 사람이 됐다	제안
0563	맞음		제안
0566	버림	'지난번엔'(과거)과 '안 난다'(현재)가 어긋나 회상인지 조회 요청인지 안 정해진다. 요청으로 읽으면 since='지난번'이 빠진 라벨 결함이 되어, 해석에 따라 정답이 갈린다	사람
0623	맞음		제안
0643	맞음		제안
0644	맞음		제안
0645	맞음		제안
0680	맞음		제안
0724	라벨수정	until: 토요일 아침 → null. 같은 값이라 구간이 아니다	제안
0774	맞음		제안
0775	맞음		제안
0778	맞음		제안
0792	맞음		제안
0798	맞음		제안
0815	버림	'언니 뭐 했더라' — 언니가 한 일을 묻는다	제안
0848	맞음		제안
0852	맞음		제안
0857	맞음		제안
0872	맞음		제안
0885	맞음		제안
0889	라벨수정	until: 토요일 아침 → null. 같은 값이라 구간이 아니다	제안
0895	맞음		제안
0896	버림	'삼촌 있었던 일' — 삼촌의 일을 묻는다	제안
0898	버림	'언니 뭐 했는지' — 언니가 한 일을 묻는다	제안
0907	버림	'아내한테 무슨 일 있었는지' — 아내의 일을 묻는다	제안
0908	맞음		제안
0917	맞음		제안
0922	맞음		제안
0970	맞음	조각 발화지만 어떻게 읽어도 품종 질문이라 라벨이 안 갈린다. '산책'은 log_activity 쪽으로 끄는 미끼 역할을 한다	사람
1005	맞음		제안
1012	맞음		제안
1014	맞음		제안
1018	맞음		제안
1049	맞음		제안
1052	맞음		제안
1075	맞음		제안
1076	맞음		제안
1093	맞음	get_trend의 필수값 metric이 '뭐가'로 남아 확정되지 않는다. 도메인 안이므로 out_of_scope가 아니라 ambiguous	사람
1099	맞음		제안
1131	맞음		제안
1132	맞음		제안
1144	맞음		제안
1169	맞음		제안
1196	맞음		제안
1768	맞음		제안
1772	라벨수정	caregiver: 삼촌 → null. '삼촌 있는 데서'는 함께 있었을 뿐이다	제안
1843	맞음		제안
1844	맞음		제안
1847	맞음		제안
1863	맞음		제안
1888	맞음		제안
1942	맞음		제안
1953	맞음		제안
1965	맞음		제안
1992	맞음		제안
2005	맞음		제안
2020	맞음		제안
2026	맞음		제안
2032	맞음		제안
2036	맞음		제안
2049	맞음		제안
2050	버림	'오타났지만 숫자는 맞음' — 뜻 없는 군더더기 (생성 규칙 8 위반)	제안
2055	맞음		제안
2061	맞음		제안
2120	버림	'정오에 저녁밥' — 시각과 끼니가 모순이다	제안
2125	맞음		제안
2132	맞음		제안
2136	맞음		제안
2144	맞음		제안
2149	맞음		제안
2182	맞음		제안
2196	맞음	'~해뒀지'는 완료 서술이 아니라 확인 의문이고 '혹시 필요할까 싶어서'가 요청을 확정한다. 진료 맥락 + 종류 미지정이라 결정 16 축②	사람
2208	버림	'4킬로 800' — 1467 과 같은 형식이라 같이 버린다	제안
2219	맞음		제안
2229	맞음		제안
2253	맞음		제안
2271	맞음		제안
2279	맞음		제안
2283	맞음		제안
2289	맞음		제안
2295	맞음		제안
2317	맞음		제안
2335	맞음		제안
2357	맞음		제안
2359	맞음		제안
2377	맞음		제안
2378	라벨수정	caregiver: 할머니 → null. 할머니는 알려준 사람이지 준 사람이 아니다	제안
2386	맞음		제안
2395	버림	'정리해뒀다' — 이미 끝냈다는 진술이라 조회 요청이 아니다	제안
